Journalist,Outlet,Incident,City,Date,Link,Link 2
Gustavo Martínez Contreras,Asbury Park Press,Arrested while live-streaming protest,"Asbury Park, NJ",6/1/2020,Asbury Park Press,
Matt Johnson,WSB-TV,"Rock thrown through news vehicle, harrassed by protesters and called ""fake-ass news""","Atlanta, GA",5/29/2020,U.S. Press Freedom Tracker,
Alyssa Pointer,Atlanta Journal-Constitution,Detained despite identifying herself as press,"Atlanta, GA",6/2/2020,Atlanta Journal-Constitution,
Haisten Willis,Freelance/Washington Post,Arrested while trying to identify himself as press,"Atlanta, GA",6/2/2020,Atlanta Journal-Constitution,
Kacey Bowen,KTBC,Hit with tear gas by police,"Austin, TX",5/31/2020,Twitter,
Anna Beahm,Al.com,Attacked by protesters,"Birmingham, AL",6/1/2020,Al.com,
Dez Wilson,Al.com,Attacked by protesters,"Birmingham, AL",6/1/2020,Al.com,
Ivana Hrynkiw,Al.com,Attacked by protesters,"Birmingham, AL",6/1/2020,Al.com,
Madison Underwood,Al.com,Punched in the face by protesters,"Birmingham, AL",6/1/2020,Al.com,
Stephen Quinn,WABM,Took hits to the head from protesters who stole his wallet,"Birmingham, AL",6/1/2020,Al.com,
Erin Hooley,Chicago Tribune,Shoved and had her cameras stolen,"Chicago, IL",5/30/2020,Twitter,
Jonathan Ballew,Freelance,Pepper sprayed after identifying himself as press,"Chicago, IL",5/30/2020,Insider,
Nick Swartsell,CityBeat Cincinnati,Grabbed by police by bandana from behind and pulled into a group of officers,"Cincinnati, OH",6/1/2020,Twitter,
Patrick Brennan,Cincinnati Enquirer,"Arrested while wearing press badge, forced to ground by multiple officers","Cincinnati, OH",6/1/2020,Twitter,
Julia Lerner,University of Maryland,"Chased, pepper sprayed by police","Columbus, OH",5/30/2020,U.S. Press Freedom Tracker,
Marina Trahan Martinez,Freelance,Tear gassed and shot at with rubber bullets away from protesters,"Dallas, TX",5/30/2020,Twitter,
Elise Schmelzer,Denver Post,Shot with pepper balls by police,"Denver, CO",5/28/2020,U.S. Press Freedom Tracker,
Hyoung Chang,Denver Post,Shot deliberately by police multiple times with pepper balls,"Denver, CO",5/28/2020,U.S. Press Freedom Tracker,
Adi Guajardo,KMGH TV,"Ducked, avoiding pepper balls fired by police","Denver, CO",5/29/2020,U.S. Press Freedom Tracker,
Hart Van Denburg,Colorado Public Radio,Hit on the chin with a tear gas canister,"Denver, CO",5/29/2020,U.S. Press Freedom Tracker,
Jan Czernik,KMGH TV,"Struck four times by pepper balls fired by police, camera damaged","Denver, CO",5/29/2020,U.S. Press Freedom Tracker,
Dave Sachs,Denverite/CPR News,Shoved twice by police and hit with tear gas after identifying himself as press,"Denver, CO",5/30/2020,Twitter,
Jeremy Jojola,9NEWS Denver,Hit by projectile by police while live on camera,"Denver, CO",5/31/2020,Insider,
Alex Burness,Denver Post,Forced into tear gas and threatened with weapon,"Denver, CO",6/1/2020,Twitter,
Esteban Hernandez,Denverite,Forced into tear gas and threatened with weapon,"Denver, CO",6/1/2020,Twitter,
Andrea Sahouri,Des Moines Register,Arrested and pepper sprayed after identifying herself as press,"Des Moines, IA",5/31/2020,USA Today,
Katie Akin,Des Moines Register,Pepper sprayed after identifying herself as press,"Des Moines, IA",6/2/2020,Twitter,
Branden Hunter,Detroit Free Press,"Teargassed by police, went to hospital, phone knocked away","Detroit, MI",5/30/2020,USA Today,
JC Reindl,Detroit Free Press,Police pepper sprayed him despite wearing media badge,"Detroit, MI",5/30/2020,IndieWire,
Christine MacDonald,Detroit Free Press,Briefly detained by police,"Detroit, MI",5/31/2020,Detroit Free Press,
Darcie Moran,Detroit Free Press,Shoved by police,"Detroit, MI",5/31/2020,Twitter,
David Jesse,Detroit Free Press,Tear gassed multiple times by police after identifying himself as press,"Detroit, MI",5/31/2020,Washington Post,
Mark Kurlyandchik,Detroit Free Press,Charged at by police while trying to put on goggles to protect from tear gas,"Detroit, MI",5/31/2020,Detroit Free Press,
Nicole Hester,MLive,"Hit by a dozen pellets to her face and body, leaving welts and narrowly missing her eye","Detroit, MI",5/31/2020,MLive,
Lindsay Fendt,Alicia Patterson Foundation,Police kicked chemical cannister at her,"Devner, CO",5/31/2020,Twitter,
Henry Houston,Eugene Weekly,Tear gassed and hit with multiple bean rounds by police,"Eugene, OR",6/1/2020,Twitter,
Paul Woolverton,Fayetteville Observer,Assaulted by man while covering looting,"Fayetteville, NC",5/30/2020,USA Today,
Kelly Wilkinson,IndyStar,Threatened by police with loaded pepper ball gun,"Indianapolis, IN",5/29/2020,Twitter,
Darrius Smith,KSHB-TV,Tear gassed by police,"Kansas City, MO",5/31/2020,Twitter,
McKenzie Nelson,KSHB-TV,Tear gassed by police,"Kansas City, MO",5/31/2020,Twitter,
Scott Winkler,KSHB-TV,Tear gassed by police,"Kansas City, MO",5/31/2020,Twitter,
Andrew Dyer,San Diego Union-Tribune,Hit by multiple projectiles by police,"La Mesa, CA",5/30/2020,Insider,
Bridget Bennett,Freelance/Agence France-Presse,"Arrested for ""failure to disperse."" Released.","Las Vegas, NV",5/30/2020,Las Vegas Review-Journal,
Ellen Schmidt,Las Vegas Review-Journal,"Arrested for ""failure to disperse"" while shouting ""I’m a journalist."" Released.","Las Vegas, NV",5/30/2020,Las Vegas Review-Journal,
Blake Apgar,Las Vegas Review-Journal,Shot by police with projectiles,"Las Vegas, NV",5/31/2020,Twitter,
Kevin M. Cannon,Las Vegas Review-Journal,Police shot pepper bullets at him,"Las Vegas, NV",5/31/2020,Twitter,
